Summe von AggValue,Spaltenbeschriftungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeilenbeschriftungen,MAR,ABW,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,YEM,ZAF,ZMB,ZWE
1950,15025.97852,,,,,,196688.4531,,,127476.0313,56946.14844,,,84999.05469,,,,,,,,,,,15159.21582,145880.4531,,,,,,198130.6719,114843.2969,,,,,24227.75391,,42417.15234,,,3443.429443,,1514.993896,,495205,,,54798.22266,,,12997.12793,35642.81641,144666.1875,,9252.515625,29967.76367,,372406.8125,,609157.1875,,,,,,,,,10177.67676,,4699.909668,,,,,308114.25,25913.30664,,,1254.767822,7024.433105,340576.9688,,,272826,,15031.77344,,,,,,,,,,12002.25391,,,5566.032715,,,,,,149149.0781,,,,,,,,,,2267.946045,,,,,78915.1875,4176.844238,113453.7656,44300.24609,,27230.10742,,43186.64453,3052.281006,29361.5332,40754.06641,,32679.03125,,,,,,,,,,,,6396.165527,,,,,,87437.22656,,,,,,,25661.26172,,,2682.397461,,77661.58594,,,4888.054199,,14944.67871,2466594.75,,,1874.589722,,,,86774.875,,
1951,15215.63281,,,,,,208305.2031,,,130718.2969,60474.61328,,,88196.46875,,,,,,,,,,,16547.28125,153024.3594,,,,,,206789.9531,124148.0938,33495.69141,,,,27769.35352,,43415.05469,,,3561.311523,,1537.477173,,543256.9375,,,53879.17578,5600.047363,,13260.2168,36400.41797,169012.3594,,10582.19434,32476.23242,,393096.0313,,635156.0625,,,,,,,38966.64063,,10321.40137,,4827.193359,,,,,313911.75,26798.6875,,,1236.957764,9140.333008,370354.8125,,,297234.6875,,17652.56445,,,,,,,,,,12816.00781,,,5323.789551,,,,,,163555.5625,,,,,,,,,,2390.94165,,,,,83720.42969,4759.307129,116244.5938,45282.49609,,26715.64063,,43768.9375,3025.196777,31765.53125,45043.96875,,35689.50391,5372.227051,,,,,,,,,,,6647.987305,,,,,,89944.39063,,,,,,,24469.44336,,,2954.383057,,95973.25781,9247.628906,,5514.910156,,17263.84375,2665368,,,2067.756104,,,,90719.1875,,
1952,15956.16797,,,,,,195898.25,,,125367.6875,60239.30078,,,90342.36719,,,,,,,,,,,16620.32813,167575.5781,,,,,,224110.8281,125173.1953,35102.76563,557468.3125,,,29759.86133,,46287.62891,,,4006.768311,,1698.812866,,593964.5,,,55078.16406,5991.117676,,14794.55176,38859.71094,177136.6719,,10945.42285,34123.59375,,405827.9375,,640130.4375,,,,,,,38374.85547,,10535.58008,,4642.643066,,,,,329856.875,26337.31055,,,1212.586182,9542.826172,386296.1875,,,333982.5938,,16638.66211,,,,,,,,,,13594.13477,,,5624.167969,,,,,,169764.8281,,,,,,,,,,2334.517334,,,,,89312.11719,5627.635254,118255.0781,47602.87891,,26713.25195,,44934.87891,3187.702393,33746.87109,47903.90625,,37142.67969,5411.33252,,,,,,,,,,,7136.685547,,,,,,91354.67188,,,,,,,23850.32813,,,3071.617188,,103998.6641,10357.68848,,5961.777344,,16619.78711,2773902.75,,,2367.258545,,,,93677.41406,,
1953,16734.41797,,,,,,204164.875,,,138968.3281,62218.33203,,,93326.20313,,,,,,,,,,,13965.83887,176091.625,,,,,,235150.1094,129604.8047,38292.88672,630467.125,,,32793.61328,,49921.70703,,,4706.357422,,1875.819946,,646873.8125,,,58498.29297,6017.982422,,15308.10156,40757.28516,170952.3906,,11993.04883,33995.35156,,420151.2813,,669658.625,,,,,,,41727.0625,,10923.07129,,4951.317871,,,,,348906.4063,27309.11133,,,1392.801514,9404.524414,410109.0938,5948.615723,,356372.4688,,15906.2959,,,,30879.11133,,,,,,12991.70996,,,5756.684082,,,,,,168518.2344,,,,,,,,,,2375.379395,,,,,91487.78906,5861.862793,129098.6406,50913.32422,,27281.49023,,49094.82422,3382.002686,35547.75,52193.80469,,39096.96484,5304.174805,,,,,,,,,,,7680.290527,,,,,,94488.61719,,,,,,,21537.38086,,,3131.748291,,117455.1953,11341.04297,,5615.217773,,17490.78516,2904121.75,,,2427.907471,,,,97621.72656,,
1954,17122.03906,,,,,,210812.5625,,,150078.1875,67352.9375,,,97440.625,,,,,,,,,,,14357.58398,190537.3281,,,,,,232511.4063,136859.4063,36161.08984,586751.375,,,34244.27734,,53759.39453,,,4893.171875,,1918.301758,,697127.4375,,,61435.08984,6481.479004,,16760.35352,39657.76172,194559.6719,,12265.77441,36766.33203,,444023.4688,,689562.75,,,,,,,43580.64844,,11124.56836,,4324.70752,,,,,362016.6563,27517.97461,,,1525.520508,11229.04688,426902.2188,6615.990234,4318.265625,374102.4688,,17228.76563,,,,31565.85742,,,,,,13972.54492,,,5710.646484,,,,,,186939.2656,,,669.5916138,,,,,,,2265.981445,1133.207275,,,,99085.97656,6592.980957,138668.7344,52870.01563,,30497.64648,,48678.43359,3503.293213,37841.16797,56126.21875,,40841.32813,5634.714355,,,,,,,,,,,7880.912109,,,,,,99973.03125,,,,,,,23595.27539,,,3266.298584,,106245.0391,12434.4248,,5471.964844,,19061.98828,2887745.25,,,2673.147949,,,,104031.2344,,4017.634277
1955,15985.38281,,,,,,225537.4688,,,155997.8438,75065.11719,,,100902.6875,,,,,,,,,,,15780.87109,202836.8125,,,,,,253992.6094,146101.125,37979.83203,641581.4375,,,36441.29688,,56061.01953,,,5412.024414,,2008.912231,,781496.375,,,61161.13672,6709.513184,,17531.73047,39585.44531,206296.9219,,12914.49316,39773.43359,,467895.7188,,709619.375,,14078.56543,,,,,45909.50781,,11400.74512,,4424.657227,,,,,370055.7188,28789.2168,131755.2031,,1691.08313,12761.59473,449737.5313,7268.437012,3606.736816,400389.4375,,18246.72852,,,,34146.87891,,,,,,14664.2959,,,5986.648926,,,,,,202299.0938,,,669.5916748,,,,,,,2362.695557,1249.489258,17055.26172,,,100712.5,6829.125,149268.4375,54153.73828,,31727.74414,,49013.34375,3705.836426,39648.49219,60058.62891,,42501.12891,5983.156738,,,,,,,,,,,8296.6875,,,,,,102950.2891,,,,,,,21888.79297,,,3747.57959,,117090.2734,13393.91113,,5813.255859,,19412.95898,3093408,,,2851.578369,,,,109947.7031,6039.140625,4327.139648
1956,16295.50684,,,,,,231485.4844,,,156355.9063,79692.41406,,,104080.4844,,,,,,,,,,,15077.30957,210199.9531,,,,,,277510.4375,155784.4219,38214.40625,695460.25,,,38486.45313,,57498.89453,,,5343.254883,,2359.359131,,841850.625,,,62392.08594,7358.243164,,18117.36719,40294.21094,222248.4375,,13188.41406,40941.05859,,491767.9688,,716726.5,,17169.45898,,,,,49945.44922,,12437.81641,,5262.66748,,,,,380155.6875,27802.94531,148664.6875,,1741.288696,13899.92578,468255.375,8026.477539,5054.70166,430393.7188,,19189.49609,,,,35722.21094,,,,,,12891.81641,,,6242.487793,,,,,,218544.1719,,,749.696106,,,,,,,2393.463867,1275.125244,17887.67188,,,99151.05469,6854.584473,156302.3906,55734.99219,,32175.65625,,51551.72266,3898.95874,41348.96094,64348.53516,,44471.00391,6084.525879,,,,,,,,,,,8832.880859,,,,,,106397.6328,,,,,,,22920.7168,,,4278.85791,,118388.1953,14220.50391,,6130.119629,,19458.05273,3159364.75,,,3134.047363,,,,116357.2188,6731.720215,4805.236816
1957,15676.30078,,,,,,240381.4219,,,159780.625,84319.71094,,,106104.4531,,,,,,,,,,,15109.05566,231305.1719,,,,,,284565.7813,161982.3594,41160.37109,718725.3125,,,38868.80469,,57798.14453,,,5706.460938,,2610.343994,,892921.5,,,64699.66797,7713.088867,,18798.76953,42169.89063,232038.5,,13224.52441,41114.05078,,518823.125,,725624.125,,15736.81934,,,,,53519.27734,,13139.53125,,5328.220215,,,,,380399.8438,27009.125,178398.8906,,1744.104004,15128.68457,486049.8125,9052.144531,5200.106934,464033.2813,,20056.69727,,,,38104.24609,,,,,,13297.41211,,,6560.389648,,,,,,236169.0313,,,747.6421509,,,,,,,2481.319092,1426.267944,18161.7207,,,101943.6406,7308.094727,161136.2188,58021.19922,,33853.56641,,52212.48828,4306.400879,44140.67969,67565.95313,,46638.55469,6409.196289,,,,,,,,,,,9228.475586,,,,,,108904.7969,,,,,,,26189.70117,,,4843.927734,,144157.9531,15331.3877,,6410.60791,,20105.22266,3225886,,,3435.286133,,,,121287.6094,7269.312988,5225.87793
1958,17479.77539,,,,,,256257.3125,,,170618.8906,87404.57813,,,105541.4375,,,,,,,,,,,14911.89258,246067.0156,,,,,,289269.375,158512.7813,43080.86719,739635.3125,,,38029.625,,58373.44141,,,6371.861328,,2423.109619,,932734.0625,,,66212.75781,8064.116699,,19312.84375,46176.33594,242163.2344,,14400.64648,41073.05859,,533146.5,,727962.375,,17449.08398,,,,,55981.07031,,13752.47363,,5706.470703,,,,,407360.9375,26925.45313,202273.375,,1903.502197,16236.87207,508851.1563,9283.749023,5876.921387,492858.7188,,20121.48047,,,,39433.22266,,,,,,14239.47363,,,6645.70752,,,,,,246720.1875,,,786.6674805,,,,,,,2469.925049,1434.613647,17916.32617,,,108851.1641,7276.169922,159537.5938,58882.88281,,34077.70313,,53595.94922,4340.550781,43889.99609,70068.40625,,47002.47656,6750.954102,,,,,,,,,,,9352.270508,,,,,,111568.6484,,,,,,,26704.79492,,,5391.155273,,155485.0938,16508.33594,,6271.024414,,18923.83398,3202169,,,3535.990723,,,,124738.8828,6699.544434,5337.293457
1959,17942.10938,,,,,,243846.9531,,,181070.375,89975.29688,,,109254.1953,2360.062256,3825.285645,74930.05469,,,,,,,,15273.14063,265041.2813,,,,,,301028.3125,168527.2813,42408.13672,724461.0625,,,38851.09375,,62282.60547,,,6559.452148,,2559.054932,,1006071.563,,,71513.08594,8655.026367,,20236.28711,48111.64453,235581.3125,,14091.90039,44088.49609,,547469.8125,,750903.875,,18367.63086,4706.053223,,,,58060.10156,,14431.64355,,6088.320801,,,,,415425.0313,28459.94727,226874.9219,,1957.745239,18307.26367,542033.0625,9585.258789,6940.020508,539262.25,,19473.24023,,,,40132.10547,,,,,,14505.06934,,,6655.865234,,,,,,251832.1094,,,782.5595703,,,,,,,2538.505859,1277.818237,19746.99219,,,114118.1641,7132.541016,167406.0781,60651.18359,,35384.48828,,55402.11719,4618.458496,45503.62891,74715.78906,,49663.23438,6770.943359,,,,,,,,,,,9534.160156,,,,,,117523.1563,,,,,,,29724.7832,,,5836.350586,,152533.5,17962.26953,,6579.02832,,18499.03711,3423191,,,3728.069336,,,,130655.3594,7487.139648,5631.577637
1960,18344.53125,,,,,,270342,,,185281.2813,98201.61719,,1941.153931,115497.2969,2509.544434,3841.942139,79232.65625,,,,,,,,15939.53223,285613.4375,963.4433594,,,439.0717468,2730.006348,310435.4375,180308.1094,46879.4375,689786.875,8197.862305,13982.08203,42396.9375,2072.480225,65859.65625,338.6172485,303.8751526,7103.949219,,2274.151855,,1092642.25,,,75799.78906,9657.453125,73350.97656,21357.57227,51796.25,263005.7188,,15564.59668,47812.88281,1791.47937,592031.3125,2941.052734,782240.3125,,19751.91602,5406.516602,884.6402588,1387.709351,650.826416,59409.76563,,14783.90918,13218.29004,5937.817871,,9069.649414,,147538.9219,447577.2813,29564.73633,248714.875,,2009.047241,19516.09766,586620.4375,10154.51953,7354.44873,609689.9375,,21083.46094,,,,40605.22266,,,,,,15446.71582,468.3695068,,6940.137695,,,,13445.34375,,274371.6875,,1497.855347,828.1781006,,,,2996.017578,2328.978516,,2377.258057,1486.192871,21268.9043,2729.514648,6130.553223,141879.8281,7451.213379,183961.3438,63278.40625,11155.6084,40998.09766,,56423.14844,4896.367188,51042.63281,75788.26563,,53309.01172,7033.594727,,,46672.72266,,2421.00415,,,9145.706055,8494.665039,,9963.282227,,,,,,121910.6875,,159.9279785,20519.19531,,3563.080566,1788.551514,33348.66016,,,6487.785645,8438.158203,150595.4844,19255.375,8758.782227,6666.780762,,19347.1543,3510944.75,,,3518.70166,,,,134599.6563,7668.029297,5830.472168
1961,22057.83398,,,,,,279138.9375,,,187807.8438,103343.0547,,1664.426514,121345.2656,2542.069336,3339.483398,76698.625,,,,,,,,16233.47656,325808.4375,1032.496338,,,472.8565979,2860.878662,319221.3438,194927.6719,49135.66406,558305.375,9303.610352,14184.10742,37928.73047,2442.154541,69705.5,363.5129089,330.6907959,7052.364746,,2480.688721,,1147274.25,,,80756.375,9480.883789,72145.71875,22452.02148,54349.69141,296804.9375,,16217.74219,51449.10938,1846.783936,622269.5,3263.991211,799091.5625,,20454.39063,5849.478516,833.4918213,1433.631958,660.1395264,67254.14063,,15419.39746,13974.13574,6047.171875,,8803.925781,,159648.6094,463627.1875,31037.40039,269902.9063,,2007.344482,21642.86523,635370,10618.6377,8647.088867,681957.375,,20329.98047,,,,42436.44141,,,,,,17251.80078,473.3747253,,7183.935059,,,,14283.33789,,282179.6875,,1471.162598,821.5848999,,,,3048.609863,2156.321533,,2618.194824,1707.500366,22818.06445,2771.249023,6433.629395,135969.5625,7974.824219,189456.2969,67248.07813,11364.29395,43147.71094,,59615.00391,5427.455078,54810.26172,80078.17188,,57024.10547,7509.881348,,,53838.01172,,2330.291992,,,9333.93457,9172.764648,3254.357666,10118.41699,,,,,,128805.375,,166.906189,20844.04492,,3632.665771,1977.367065,35109.21094,,,7476.368164,8693.152344,153183.7344,20612.42188,8344.692383,6693.539551,,19673.17578,3600618.75,,,3673.613037,,,,139530.0625,7741.390625,6186.79541
1962,25387.70117,,,,,,280924.875,,,199598.4844,105399.6328,,1805.291626,127778.0313,2448.479492,3498.693359,82362.73438,,,,,,,,17256.97852,342662.6563,1083.331787,,,509.0895386,2718.060791,341186.0938,204264.0313,51391.89453,591366.25,9294.860352,14602.66406,43331.82031,2395.968994,73088.52344,413.7687073,295.2649841,7557.256348,,2718.655273,,1201906.375,,,85711.21875,11238.16406,45074.24219,23556.4707,55450.39844,328570.7188,,16784.66406,52983.19922,1916.032471,663648,3574.561768,813156.3125,,21446.11914,5926.53418,848.8306885,1382.329346,659.5992432,67499.48438,,15964.7041,15952.91309,6290.606934,,9501.816406,,159406.125,479086.375,32230.46484,287831.25,,2174.224121,23804.12695,674369.75,10852.43652,8841.775391,740583.0625,,22007.64258,,,,43422.45703,,,,,,17313.67969,548.1045532,,7273.788574,,,,14411.47168,,293219.6563,,1442.412109,786.6674805,11471.50488,,,3307.106445,2362.790039,,2713.804443,1559.005005,24217.86328,3157.077637,7047.094238,141122.6719,9047.375977,197969.6563,69140.39063,11560.86719,44046.31641,,63410.46094,5874.934082,59390.64844,84010.58594,,60242.10156,7322.400879,,,57849.91406,,2466.289063,,,9436.499023,9811.876953,3711.476807,11193.48438,,,,,,134289.7969,,182.4174805,28566.73633,,4043.082764,2050.818604,37942.73438,,,7648.730957,8835.24707,162488.375,22452.54102,9158.074219,7080.136719,,19586.45703,3820850.25,,,4030.293457,,,,148404.75,7773.22168,6319.79834
1963,29423.90234,,,,,,270609.3125,,,213073.5,110026.9375,,1912.754639,133333.5938,2584.910889,3432.818359,86704.89844,,,,,,,,18416.91602,364751.375,1033.891968,,,530.2203369,2721.852295,358757.9063,214231.2031,54650.89063,677432.875,10584.86035,15073.13477,44467.44922,2276.707275,75276.82813,467.0571594,266.4660034,8037.87207,,2860.088135,,1234685.625,,,86736.10156,11987.11523,56797.28906,24052.65625,57262,361557.3125,,17420.42188,54723.64453,2041.914673,706618,4084.250977,844606.6875,,22189.91602,5987.320801,858.875,1599.573486,687.3377075,75494.71094,,17487.90234,18531.74414,6257.460938,,9317.852539,,153244.6406,510559.4063,33836.05078,305433.5938,,2397.80957,26312.58008,711744.4375,11612.50781,9418.196289,805660.875,,22959.09375,,,,46805.88672,,,,,,18838.93555,610.4837036,,7415.478516,,,,13614.55859,,321440.1563,,1536.80127,785.1886597,12954.35645,,,3374.873047,2438.224854,,2964.952637,1591.054688,25823.46484,3369.77417,7722.236328,153354.375,9816.253906,204727.25,71757.39063,11810.02344,46848.29688,,68217.21094,6376.582031,61585.69141,89730.44531,,63715.48828,7581.149414,,,64460.59375,,2226.793701,,,9304.886719,10786.9375,4150.412598,11683.21777,,,,,,141341.1875,,219.1300201,25935.01367,,3808.501953,2182.000488,41114.09766,,,7824.483887,9802.667969,177806.9531,24863.83984,9382.924805,7848.388184,,19286.80469,3987209.75,,,4295.884277,,,,159251.6094,7996.684082,6427.130371
1964,30937.47656,,,,,,291641.6563,,,226548.4688,116710.8203,,2037.704102,142690.3438,2693.433594,3493.628418,86306.57813,,,,,,,,19299.6875,379936.375,1074.045044,,,560.6038208,2769.622559,382187,225491.5938,55904.35547,771682.9375,12588.59863,15631.90234,44651.25391,2347.20459,81225.67188,518.4997559,290.1499634,8412.421875,,2581.712158,,1311170.625,,,94082.25781,12762.28613,62737.21484,25834.29492,67230.05469,381048.1563,,17986.72461,57825.82422,2143.324463,752771,4577.973633,892023.1875,,22665.11719,5545.92627,955.8596802,1568.172974,715.0980225,82598.51563,,18298.11523,20076.05469,6541.329102,,9166.010742,,160370.2344,548507.4375,35315.87891,329229.375,,2635.574463,28923.53711,731244.25,12311.96094,10817.57031,895779.375,,24327.49023,,,,50504.91016,,,,2477.65918,,19495.70703,663.1099243,,8083.198242,,,,14385.48633,,365391.5625,,1297.157959,800.9425659,12168.79785,,,3513.488281,3753.932129,,2998.460205,1602.282837,27113.49609,3782.881348,7637.841797,158314.5469,11093.03418,223992.0625,75352.1875,12722.16504,49278.4375,,72907.02344,6659.201172,65651.14844,92947.88281,,67011.16406,7760.470703,,,67246.17969,,1973.046631,,,9626.479492,10372.38184,4440.686523,12797.75977,,,,,,151056.4375,,226.9893646,30075.96875,,3830.800781,2475.06665,43831.04688,,,8497.605469,10178.3457,185168.8281,28004.07813,11272.01074,8449.864258,,19785.08594,4217154.5,,,4857.226563,,,,172070.625,8772.742188,6618.597168
1965,30836.57031,,,,,,318469.5938,,,231601.6094,119795.6719,,2137.311279,147661.1094,2834.837891,3441.361816,84616.03906,,,,,,,,20188.66992,406417.5,1184.336182,,,534.5084229,2803.513184,407080.4063,232667.3281,56405.73828,857507.25,12263.16504,16355.28418,43720.07422,2451.111328,82062.51563,517.9364624,300.4431152,9339.445313,,3131.729248,,1387655.5,,,97900.17188,11380.66504,68657.39063,26680.39063,70613.57813,408400.0625,,19099.14648,60660.43359,2084.09375,789375.0625,5012.142578,912767.875,,22975.0332,5796.507324,1053.623901,1576.442871,694.3986816,91492.73438,,19095.64453,22993.08789,7328.719727,,9244.851563,,162256.9531,536750,36160.69141,374865.1563,,2827.700928,28556.81641,755619.125,12813.95996,12049.69043,946597.125,,25509.05469,,,,53033.91406,,,,2594.810303,,19955.68164,675.3478394,,8223.84668,,,,14397.65527,,385779.625,,1346.725708,857.385437,13395.68066,,,3565.050537,4389.644531,,2989.861328,2046.347412,29113.71289,3960.718018,8078.230469,150900.1563,12416.67383,236526.375,79334.99219,12534.27051,52702.53125,,79562.51563,7269.185547,68890.625,97952.76563,,71746.78906,8348.901367,,,73583.98438,,2051.065918,,,9887.693359,11148.70898,4578.358398,13559.97266,,,,,,156697.5469,,176.3903809,30153.23828,,3979.263672,2835.182861,47277.19922,,,8632.021484,10565.7041,190016.2656,31332.72266,11683.10156,8685.301758,,19621.4707,4491258,,,5093.273438,,,,182424.4375,9858.169922,7104.091797
1966,29706.43555,,,,,,319221.2813,,,245918.8125,126479.5625,,2223.6875,152047.0938,2935.391602,3431.04834,86482.34375,,,,,,,,21604.91602,422527.4063,1219.130859,,,572.8833008,2823.18335,434902.4375,238392.1563,62673.03906,885350.75,13669.89844,17165.05664,46401.78125,2596.708496,86632.60156,575.5142822,364.5596313,9895.581055,,3353.980713,,1420434.75,,,101361.2422,12660.88867,64260.29297,27332.32422,70400.96875,440241.5938,,20013.39453,62361.1875,2086.345459,830753.5625,4934.897949,930549.125,,22995.69531,5942.065918,1066.469971,1303.692261,716.9480591,97434.73438,,20148.21484,23336.26953,7656.432129,,9309.09375,,166785.0469,534683.3125,36242.56641,417241.2188,,3074.741455,31243.26367,801118.75,13013.35156,12394.27246,1043608.375,,28544.39844,,,,59084.42578,,,,2798.513428,,21035.20508,689.8036499,,8321.921875,,,,14825.22559,,409665.0625,,1397.47583,948.8278198,12820.4873,,,3612.507813,4443.215332,,2906.986084,2414.521484,31198.1582,4215.43457,8009.036621,143219.25,13001.6084,243338.1719,82338.82031,13373.49707,56024.71094,,85642.83594,7820.291992,74679.63281,102242.6641,,74057.10156,8320.292969,,,77982.39063,,2060.649658,,,10272.1543,12349.08594,4778.654297,14664.88086,,,,,,159831.4844,,172.4018555,27744.77344,,3919.027832,3104.840576,53048.33594,,,9190.605469,10892.71777,213051.0938,34349.91016,12662.0918,9298.359375,,20399.26367,4787384.5,,,5050.973633,,,,190806.1094,11237.625,7086.43457
1967,31058.5625,,,,,,328118.75,,,258551.625,130592.7266,,2539.042969,157895.0469,3136.865723,3725.593018,81550.05469,,,,,,,,23360.51758,446754.4375,1401.575317,,,683.8466187,2906.907715,446616.9688,245678.2969,64678.57422,889345.4375,14210.69238,15262.4707,45872.24609,2913.932617,90062.45313,638.8359985,419.9459839,10456.36133,,3787.259521,,1420435,,,107169.375,12962.57617,71811.19531,29209.20508,69787.4375,458083.0625,,21260.23047,63495.02734,2370.436035,872132.1875,5640.218262,951293.8125,,23408.91406,5817.505371,1066.469971,1443.038574,752.6171265,102958.7891,,20975.33594,23679.44922,7969.266113,,9110.530273,,169049.1094,577124.1875,38107.0625,462876.9375,,3035.761719,31555.96289,857993.3125,13116.05176,13913.1748,1159281.125,,29753.95703,,,,62375.58594,,,,2988.228271,,23020.64648,765.0289307,,8387.09668,,,,16574.47266,,432915.2188,,1375.277588,1015.64325,12290.89844,,,4024.710205,4816.378418,,3113.687988,2381.411377,32279.75391,4271.891113,8090.674316,120701.4922,13796.29883,256956.2969,87490.4375,13089.97754,53026.94531,,89191.79688,8489.155273,77507.28906,107605.0391,,79308.625,9058.061523,,,88334.92969,,2305.458496,,,10076.78027,13858.5752,4315.933105,15297.14844,,,,,,166099.3906,,221.612854,29529.08594,,3951.003174,3273.706299,57179.66797,,,9382.209961,10877.14551,221488.75,38181.01953,13380.47559,9941.760742,,19839.18945,4918733.5,,,5270.002441,,,,204118.1563,13130.35742,7100.174316
1968,33117.02344,,,,,,345067.4688,,,277079.75,136248.3125,,2531.008789,165205.0156,3300.037109,3888.233398,85694.32813,,,,,,,,20188.66992,496790.0938,1517.263062,,,781.4549561,2978.884033,470046.0625,254494.1875,66934.8125,865986.375,16330.80566,16344.875,48831.98047,3190.516846,95959.17188,641.4385986,460.4428711,11333.30176,,3996.04126,,1496919.75,,,113164.8594,12959.82227,79622.67969,30386.26758,73620.47656,486698.2188,,22333.41016,64628.86719,2565.641357,910327.6875,5845.868652,1019455,,23739.49023,5854.206055,1110.407715,1476.919067,770.0757446,110375.6484,,22815.57422,24537.40234,8537.930664,,9399.614258,,180746.7031,606516.375,41573.58984,521551.5313,,2869.577148,32283.21875,914867.9375,13352.15723,13841.95703,1297339.125,,29746.81641,,,,69001.64844,,,,3130.73291,,24208.16211,764.2090454,,8825.244141,,,,17487.23242,,472157.9063,,1465.190308,1117.478638,13533.96387,,,4206.43457,5561.8125,,2692.574219,2494.817871,34632.03906,4441.501465,8181.073242,121513.5,13757.24805,275408.25,89466.32813,13166.61035,52844.32422,,94112.32031,9081.476563,77782.39063,112967.4141,,89539.42969,9181.000977,,,94348.94531,,2364.41748,,,10679.54492,15737.68555,4734.76416,15607.96289,,,,,,170800.3281,,263.1347046,30713.54688,,3990.823242,3434.45459,61857.01563,,,9867.606445,11803.68848,236254.6719,41889.19141,14531.63672,10186.26855,,20061.36719,5160197.5,,,5770.592285,,,,212992.875,13649.2168,6255.711914
1969,36446.89063,,,,,,376695.9688,,,297292.2813,144988.7656,,2484.993652,175438.9375,3486.488281,3951.066895,88617.55469,,,,,,,,20800.55469,528659.875,1661.717529,,,779.6982422,3220.650146,494939.4688,268829.875,69441.72656,953460.25,17553.21875,16909.11523,52692.57031,3537.457764,102273.1328,628.743103,496.7616882,11965.62207,,4388.911133,,1606184.125,,,120471.8672,14234.72949,86312.57813,31095.02539,79625.16406,532853.3125,,23003.76172,70864.98438,2627.234375,975578.5,6491.793457,1010564.438,,25131.57813,5733.203125,1146.027222,1527.724243,789.4230957,123139.125,,23896.32617,27282.84375,8587.132813,,9758.779297,,181878.7344,674447.25,44525.73047,590005.125,,2937.696289,37246.11328,970117.4375,13872.84766,14992.08203,1452412,,31642.67383,,,,78887.69531,,,,3358.915283,,26533.02734,774.1948242,,9774.404297,,,,18062.13867,,489397.9063,,1479.941284,1189.244019,13979.7002,,,4498.660156,5436.029297,,2809.438965,2791.980713,36377.91797,4765.012207,7684.824219,143045.1719,14748.15137,295507.625,93496.88281,13838,58026.61328,,101327.1641,9848.079102,80710.47656,118329.7969,,92107.71094,9595.131836,,,100846.1406,,2659.139404,,,9932.977539,17874.64258,5131.201172,16190.96582,,,,,,180202.1719,,244.2149963,36731.31641,,4167.542969,3796.160156,67210.03125,,,10142.23926,12311.72852,248911.1875,45906.70703,14605.30371,11161.82813,,21435.91016,5322265.5,,,6080.868652,,,,222853.6406,12392.08008,8378.357422
